ID_Manuscrito,Referencia,Título,Año,Fuente,DOI,Algoritmo,Validación,UAVs,Aplicación
PAPER_001,"Jinchao Chen, Fuyuan Ling, Ying Zhang, Tao You, Yifan Liu, Xiaoyan Du",Coverage path planning of heterogeneous unmanned aerial vehicles based on ant colony system,2021,Swarm and Evolutionary Computation,https://doi.org/10.1016/j.swevo.2021.101005,ACO,Solo Simulación,De 2 a 10 UAVs,Otro
PAPER_002,"Siqi Lin, Feifei Li, Xuyang Li, Kejin Jia, Xiaowei Zhang",Improved Artificial Bee Colony Algorithm Based on Multi-Strategy Synthesis for UAV Path Planning,2022,IEEE Access,10.1109/ACCESS.2022.3218685,ABC,Solo Simulación,UAV individual (proyecta uso multi-UAV a futuro),Otro
PAPER_003,"Guiyun Liu, Cong Shu, Zhongwei Liang, Baihao Peng, Lefeng Cheng",A Modified Sparrow Search Algorithm with Application in 3d Route Planning for UAV,2021,Sensors (MDPI),https://doi.org/10.3390/s21041224,SSA,Solo Simulación,Simulaciones centradas en planificación de ruta para un solo UAV,Otro
PAPER_004,"Haoting Liu, Jianyue Ge, Yuan Wang, Jiacheng Li, Kai Ding, Zhiqiang Zhang, Zhenhui Guo, Wei Li, Jinhui Lan",Multi-UAV Optimal Mission Assignment and Path Planning for Disaster Rescue Using Adaptive Genetic Algorithm and Improved Artificial Bee Colony Method,2021,Actuators (MDPI),https://doi.org/10.3390/act11010004,GA,Simulación+Experimentos,"20 UAVs en simulaciones específicas (15 de entrega, 3 de imágenes, 2 de relevo) divididos en dos grupos",Búsqueda-Rescate
PAPER_005,"Qingli Liu, Yang Zhang, Mengqian Li, Zhenya Zhang, Na Cao, Jiale Shang",Multi-UAV Path Planning Based on Fusion of Sparrow Search Algorithm and Improved Bioinspired Neural Network,2021,IEEE Access,10.1109/ACCESS.2021.3109879,SSA,Solo Simulación,5 UAVs en experimentos de simulación,Otro
PAPER_006,"Alex T Mathew, Ajay Paul, Akshay Rojan, Amith Thomas",Implementation of Swarm Intelligence Algorithms for Path Planning,2021,"Journal of Physics: Conference Series, Volumen 1831",10.1088/1742-6596/1831/1/012008,PSO,Solo Simulación,"Menciona contexto multi-robot, simulaciones muestran trayectoria de único robot",Otro
PAPER_007,"Charis Ntakolia, Dimitrios V. Lyridis.",A Swarm Intelligence Graph-Based Pathfinding Algorithm Based on Fuzzy Logic (SIGPAF): A Case Study on Unmanned Surface Vehicle Multi-Objective Path Planning.,2021,Journal of Marine Science and Engineering (J. Mar. Sci. Eng.).,10.3390/jmse9111243.,Otro,Simulación+Experimentos,El estudio se centra en el problema de planificación de ruta para un USV desde un nodo inicial hasta múltiples objetivos (Traveling Salesman Problem - TSP).,Otro
PAPER_008,"Nan Pan, Miaohan Zhang, Yuxuan Sun, Shiyun Chen, Haishi Liu, Xiaojue Guo",Study on border patrol task planning of heterogeneous UAVs group based on swarm intelligence,2022,Science Progress,10.1177/00368504221094722,SFLA,Solo Simulación,5 UAVs de tres tipos diferentes,Vigilancia
PAPER_009,"Manh Duong Phung, Quang Phuc Ha",Safety-enhanced UAV path planning with spherical vector-based particle swarm optimization,2021,Applied Soft Computing Journal (Volumen 107),https://doi.org/10.1016/j.asoc.2021.107376,PSO,Prueba estadística t-test de muestras emparejadas y pruebas de vuelo experimentales,"Centrado en planificación para un solo UAV, validado con dron 3DR Solo",Mapeo
PAPER_010,"Alejandro Puente-Castro, Daniel Rivero, Alejandro Pazos, Enrique Fernandez-Blanco",A review of artificial intelligence applied to path planning in UAV swarms.,2021,Neural Computing and Applications,10.1007/s00521-021-06569-4,Review,Solo Simulación,"Se enfoca en enjambres (swarms) o grupos de UAVs, analizando trabajos que van desde pocos drones hasta configuraciones masivas para tareas simultáneas.",Búsqueda-Rescate
