"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Ant Colony Optimization Based UAV Path Planning for Autonomous Agricultural Spraying","H. Zheng","School of Intelligent System Science and Engineering, Jinan University, Zhuhai, China","2022 IEEE 5th International Conference on Automation, Electronics and Electrical Engineering (AUTEEE)","2 Jan 2023","2022","","","910","916","The use of unmanned aerial vehicles (UAVs) for pesticide spraying in agricultural settings is growing rapidly. In this context, path planning directly affects the efficiency of the system. However, the most recently used method failed to fully exploit the maneuverability and energy of UAVs. This study begins by introducing a model of energy consumption, from which an objective function based on energy is derived. Then, considering the spraying constraint of the real scenario, the problem is finally simplified as a variation multiple traveling salesman problem (mTSP). Explicitly, an Ant Colony Optimization (ACO) based algorithm is conceived for solving the problem. The simulation outcome is provided to demonstrate the effectiveness of our algorithm.","2831-4549","978-1-6654-7197-8","10.1109/AUTEEE56487.2022.9994402","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9994402","Unmanned aerial vehicle (UAV);path planing;advanced ant colony optimization;autonomous spraying;agriculture robotics","Energy consumption;Ant colony optimization;Simulation;Spraying;Traveling salesman problems;Autonomous aerial vehicles;Linear programming","","4","","23","IEEE","2 Jan 2023","18-20 Nov. 2022","18-20 Nov. 2022","IEEE","IEEE Conferences"
"AI-driven Hybrid System for Optimal Route Planning of UAVs in Precision Agriculture","V. M. Sineglazov; R. S. Koniushenko","Aviation Computer-Integrated Complexes Department, State University ""Kyiv Aviation Institute"", Kyiv, Ukraine; Aviation Computer-Integrated Complexes Department, State University ""Kyiv Aviation Institute"", Kyiv, Ukraine",2025 IEEE 8th International Conference on Methods and Systems of Navigation and Motion Control (MSNMC),"24 Feb 2026","2025","","","1","6","The growing use of unmanned aerial vehicles in precision agriculture requires advanced methods for route optimization that ensure full area coverage, energy efficiency, and adaptability to field constraints. This paper presents a hybrid approach to drone path planning that integrates Ant Colony Optimization for global routing between subregions and binary gridding for local coverage. The model considers complex field geometries, obstacles, and dynamic energy consumption influenced by speed, altitude, wind, and route configuration. An adaptive recovery mechanism ensures mission continuity in case of low battery, enabling the drone to return, recharge, and resume from the last covered point. Experimental validation on real agricultural datasets demonstrates the superiority of the proposed method over classical techniques in terms of route length, execution time, and number of returns to base. The results confirm the potential of hybrid metaheuristic-based approaches for achieving autonomous and efficient drone operations in modern agriculture.","","979-8-3315-6961-7","10.1109/MSNMC61130.2025.11399722","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11399722","unmanned aerial vehicles;precision agriculture;path planning;ant colony optimization;energy efficiency;binary gridding;autonomous drone;mission recovery","Precision agriculture;Ant colony optimization;Adaptation models;Energy consumption;Wind speed;Routing;Path planning;Energy efficiency;Planning;Drones","","","","25","IEEE","24 Feb 2026","21-24 Oct. 2025","21-24 Oct. 2025","IEEE","IEEE Conferences"
"Swarm Intelligence-Based Multi-UAV Cooperative Coverage and Path Planning for Precision Pesticide Spraying in Irregular Farmlands","D. Zhou","Shenzhen Xiaozhi Biotechnology Co., Ltd. (China), Shenzhen, China",2025 3rd International Conference on Artificial Intelligence and Automation Control (AIAC),"15 Jan 2026","2025","","","395","398","Achieving precise pesticide spraying tasks in irregular farmland faces multiple challenges such as multi-UAV path coordination, coverage efficiency optimization, and energy consumption control, especially in environments with complex terrain and significant changes in crop density. To this end, this paper proposes a multi-UAV collaborative coverage and path planning model (SI-MUCCPP) based on swarm intelligence, which is improved on the basis of the existing artificial bee colony algorithm (ABC), and integrates the Voronoi adaptive zoning strategy and dynamic Dubins curve path planning method with area awareness. Model includes three core innovations: (1) The adaptive regional subdivision module, which constructs the loadbalanced Voronoi division of irregular farmland by introducing crop density and terrain complexity weights. (2) The role-dividing group collaboration mechanism simulates the foraging behavior of bee colonies, and dynamically assigns the roles of detectors, boundary followers and replenishers to improve the efficiency of multi-machine cooperation and reduce repeated spraying. (3) The hybrid fitness function design comprehensively considers the coverage integrity, flight time, energy consumption minimization and obstacle avoidance constraints, and introduces an improved search operator based on reverse learning and local perturbation to achieve optimal path convergence under complex terrain in the global-local two-stage iteration. Experimental results show that the proposed SI-MUCCCPP model improves the coverage efficiency by 17.6% and reduces the total energy consumption by 12.3% compared with the traditional method.","","979-8-3315-5448-4","10.1109/AIAC68175.2025.11332446","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11332446","Swarm Intelligence;Irregular Farmlands;Coverage Path Planning;Precision Pesticide Spraying","Energy consumption;Adaptation models;Spraying;Crops;Collaboration;Pesticides;Wind farms;Path planning;Swarm intelligence;Optimization","","1","","16","IEEE","15 Jan 2026","15-17 Oct. 2025","15-17 Oct. 2025","IEEE","IEEE Conferences"
"Ant Colony Optimization for UAV-based Intelligent Pesticide Irrigation System","Z. Gao; J. Zhu; H. Huang; Y. Yang; X. Tan","Nanjing University of Aeronautics and Astronautics, Nanjing, China; Jiangsu High Technology Research Key Laboratory for Wireless Sensor Networks, Nanjing, China; Nanjing University of Aeronautics and Astronautics, Nanjing, China; Nanjing University of Posts and Telecommunications, Nanjing, China; Nanjing University of Posts and Telecommunications, Nanjing, China",2021 IEEE 24th International Conference on Computer Supported Cooperative Work in Design (CSCWD),"28 May 2021","2021","","","720","726","The application of unmanned aerial vehicle (UAV) to achieve precision irrigation in agriculture is a hot research topic in the industry. However, much spay and much leakage of pesticide are tricky for the current UAV-based irrigation methods to deal with. In this paper, we propose a new UAV-based irrigation system for precision agriculture. First, considering that different areas in the same farmland may have different pesticide shortage, a map preprocess strategy is introduced to divide the entire farmland into pieces. Second, we establish a UAV precision irrigation model and put forward an adaptive and fast dynamic ant colony optimization (AFD-ACO) algorithm to minimize the longest flight path with the lowest energy consumption and pesticide residues. In order to promote the efficiency and the optimization effect, we utilize the scent pervasion rule to make the global map preprocessed and the neighborhood adaptive search policy to accomplish planning work. Finally, comparing with other two ACO-based algorithms, the proposed algorithm is proved to be effective for the research problem, especially when the more pieces the farmland is divided, the better our solution performs.","","978-1-7281-6597-4","10.1109/CSCWD49262.2021.9437825","Natural Science Foundation of Jiangsu Province(grant numbers:BK20201375); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9437825","adaptive and fast dynamic ant colony optimization(AFD-ACO);path planning;precision agriculture","Irrigation;Ant colony optimization;Adaptation models;Heuristic algorithms;Power system stability;Unmanned aerial vehicles;Stability analysis","","7","","18","IEEE","28 May 2021","5-7 May 2021","5-7 May 2021","IEEE","IEEE Conferences"
"Optimized UAV Trajectory Planning for Precision Agriculture Using Wireless Sensor Networks","P. Parameswari; V. Sujitha; J. Surya; B. S. A. Kumar; S. Aakash","Information Technology, Kumaraguru College of Technology, Coimbatore, India; Information Technology, Kumaraguru College of Technology, Coimbatore, India; Data Science, Kumaraguru College of Technology, Coimbatore, India; Computer Science and Engineering, Kumaraguru College of Technology, Coimbatore, India; Computer Science and Engineering, Kumaraguru College of Technology, Coimbatore, India","2025 3rd International Conference on Advancements in Electrical, Electronics, Communication, Computing and Automation (ICAECA)","2 Jun 2025","2025","","","1","6","The effectiveness of unmanned aerial vehicle (UAV) planning stands vital for precision agricultural services because it creates optimized resource utilization and raises productivity levels. The machine learning-based UAV flight planning system operates specifically for arable lands utilizing climate and wind power to generate secure and energy-efficient precise flight paths. KNN osmotic pressure (k-nearest Neighbors) enables the system to evaluate wind patterns and environmental parameters through its analysis process. A deep folding module (CNN) operates within the UAV system to detect pests after which it alerts operators about identified solutions. The current image classification system managed through openCV directs the independent operational capabilities of the CNN model which performs pest detection among plant species. The system enhances UAV-based farming automation by implementing intelligent mission programming and active pilot identification which results in cost reduction and enhanced harvest quality. The research demonstrates that using ML solutions develops efficient flight paths with accurate pest-detection systems which enable precise agricultural techniques for eco-friendly agriculture.","","979-8-3315-2543-9","10.1109/ICAECA63854.2025.11012516","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11012516","UAV;trajectory planning;precision agriculture;machine learning;KNN;convolutional neural networks;pest detection;OpenCV","Precision agriculture;Wireless sensor networks;Wind;Automation;Trajectory planning;Nearest neighbor methods;Wind power generation;Autonomous aerial vehicles;Planning;Convolutional neural networks","","1","","15","IEEE","2 Jun 2025","4-5 April 2025","4-5 April 2025","IEEE","IEEE Conferences"
"Boosting Farm Efficiency: An Ant Colony Optimization Approach to Smart Agriculture","W. K. Lai; L. C. Tay; L. L. Lim; W. C. Tan; L. S. Siang","Centre for Multimodal Signal Processing, Faculty of Engineering & Technology TAR University of Management & Technology, Kuala Lumpur, Malaysia; Centre for Multimodal Signal Processing, Faculty of Engineering & Technology TAR University of Management & Technology, Kuala Lumpur, Malaysia; Centre for Multimodal Signal Processing, Faculty of Engineering & Technology TAR University of Management & Technology, Kuala Lumpur, Malaysia; University Partnership (Coventry University) PS Academy, Singapore; Aonic Sdn Bhd. Taman Perindustrain UEP, Subang Jaya, Selangor, Malaysia",2024 IEEE International Conference on Smart Computing (SMARTCOMP),"24 Jul 2024","2024","","","314","319","The production of palm oil on a commercial scale is labour intensive with many of its processes handled by humans. In some countries, there can be as many as 500,000 plantation workers in the palm oil sector as the plantations are usually large. However, such dependence on humans for low skill manual work has led to many problems. Unmanned aerial vehicles (UAVs) have been seen as a possible alternative to support some of the processes that require low skills in the palm oil industry. However, the flying time of the UAVs is finite and hence it is important to maximize the number of palm trees that it can service. In this paper, problem of area segmenting is modeled as a bin packing problem. In addition, Ant Colony Optimization was used to assign an optimal number of palm trees for each segmented area that can be comfortably serviced by the agriculture UAV. Good results were obtained for various data sets especially when compared with other methods as well as the results computed by the human experts.","2693-8340","979-8-3503-4994-8","10.1109/SMARTCOMP61445.2024.00074","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10595672","Path planning;UAVs;swarm intelligence;Ant Colony Optimization;area segmentation;smart agriculture","Smart agriculture;Ant colony optimization;Oils;Metaheuristics;Plantations;Production;Autonomous aerial vehicles","","1","","21","IEEE","24 Jul 2024","29 June-2 July 2024","29 June-2 July 2024","IEEE","IEEE Conferences"
"3D Flight Path Planning for UAV Based on Improved Particle Swarm Optimization Algorithm","C. Li; Q. Zhao; C. Che","School of Science, Shandong Jianzhu University, Jinan, Shandong, China; School of Science, Shandong Jianzhu University, Jinan, Shandong, China; School of Science, Shandong Jianzhu University, Jinan, Shandong, China",IEEE Access,"3 Mar 2025","2025","13","","36637","36646","Unmanned aerial vehicle (UAV) has been widely used in various fields such as agriculture, petroleum, military, meteorology, and geographic surveying. In actual flight, unmanned aerial vehicle needs to find the shortest path and avoid all threats. An improved particle swarm optimization algorithm combined with genetic algorithm method is presented in this paper to solve the path planning problem of UAV which easily falls into local optimization. The algorithm enhances early stage global search capability and later period local optimization capability compared to traditional particle swarm algorithm. To ensure that particles are distributed in key search areas of the environment, Gaussian distribution is used to initialize the particle distribution. Optimization ability can be further improved by the linear transformation operation on the well performing particles. Logistic function is employed to set the dynamic mutation probability. To improve the global search capability, random initialization operations are performed on particles with poor performance. Simulations in simple terrain and complex terrain environment are carried out to testify the feasibility and efficiency of the proposed improved algorithm.","2169-3536","","10.1109/ACCESS.2025.3543175","Foundation of Shandong Jianzhu University(grant numbers:H21010Z,H22135Z,XJG2023034); Education Science Planning Project of Shandong Province(grant numbers:2022CZD006); Ministry of Education’s Industry University Cooperation Collaborative Education Project(grant numbers:231107099132923); 2023 Jinan City School Integration Development Strategy Project: Research and Demonstration of a Federated Learning Open Platform for E-Commerce Recommendation(grant numbers:JNSX2023064); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10891774","3Dpathplanning;UAV;particle swarm optimization;genetic algorithm","Autonomous aerial vehicles;Path planning;Optimization;Costs;Particle swarm optimization;Three-dimensional displays;Mathematical models;Splines (mathematics);Genetic algorithms;Convergence","","5","","23","CCBY","18 Feb 2025","2025","","IEEE","IEEE Journals"
"Enhancing Precision Agriculture Through PSO-Enabled Drones: Targeted Pest Control in Indonesian Rice Cultivation","A. Risnumawan; A. Maliki; I. A. Sulistijono; F. Gamar","Mechatronics Engineering Division, Politeknik Elektronika Negeri Surabaya, Surabaya, Indonesia; Mechatronics Engineering Division, Politeknik Elektronika Negeri Surabaya, Surabaya, Indonesia; Mechatronics Engineering Division, Politeknik Elektronika Negeri Surabaya, Surabaya, Indonesia; Mechatronics Engineering Division, Politeknik Elektronika Negeri Surabaya, Surabaya, Indonesia","2023 8th International Conference on Electrical, Electronics and Information Engineering (ICEEIE)","6 Dec 2023","2023","","","1","6","This study presents an application of aerial vehicles (UAVs), commonly known as drones, integrated with computer vision technology to detect and treat pests in precision agriculture. The focus is on rice cultivation in Indonesia, where pest infestations have contributed to a decline in the area. To address this issue, the paper proposes an approach that combines the Particle Swarm Optimization (PSO) model with Visible Atmospherically Resistant Index (VARI) imaging. This combination allows for targeted spraying in areas identified as infested by pests, significantly improving efficiency. Drawing inspiration from the behavior of birds flocking or fish schooling, PSO, a stochastic technique based on population, utilizes a set of particles to evolve and find the optimum through iterative processes. Each particle, characterized by its velocity and position, navigates towards areas based on its best fitness value, thereby determining an optimal path for the drone. The effectiveness of PSO has been previously demonstrated in path planning for plantations and coconut detection for harvesting, highlighting its versatility. This research contributes to the community by showcasing the efficacy of utilizing PSO within UAVs for pest management and optimizing spraying operations. However, it should be noted that certain limitations exist, such as identifying one area and encountering challenges when translating paths into real-world conditions. Moving forward, researchers can direct their efforts toward addressing these obstacles to maximize the potential of UAVs in Precision Agriculture.","","979-8-3503-4050-1","10.1109/ICEEIE59078.2023.10334868","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10334868","Unmanned Aerial Vehicles (UAVs) / Drones;Particle Swarm Optimization (PSO);Visible Atmospherically Resistant Index (VARI) Imaging;Computer Vision;Precision Agriculture","Resistance;Computer vision;Computational modeling;Spraying;Imaging;Indexes;Particle swarm optimization","","4","","16","IEEE","6 Dec 2023","28-29 Sept. 2023","28-29 Sept. 2023","IEEE","IEEE Conferences"
"A Path Planning Method for UAV Target Detection Based on Improved Genetic Algorithm","S. Xu; H. Li; H. Gao","College of Computer Science and Software Engineering, Hohai University, Nanjing, China; College of Computer Science and Software Engineering, Hohai University, Nanjing, China; College of Information Science and Engineering, Hohai University, Nanjing, China",2025 11th International Conference on Computing and Artificial Intelligence (ICCAI),"11 Aug 2025","2025","","","482","486","The studies of Unmanned aerial vehicles (UAVs) have received much attention due to their wide applications in the courier delivery, target detection, precision agriculture, and disaster rescue and others. Path planning is one of the core technologies in the UAV field, aiming to provide feasible, safe, and optimal flight paths for UAVs to meet the flying requirements in complex environments. Effective path planning can improve the adaptability of UAVs in various complex environments. Traditional path planning methods, although capable of finding reasonable paths, often suffer from slow convergence speed and the tendency to fall into local optima. To address these shortcomings, this paper proposes an improved Genetic Algorithm (MLGA) combining Meta-learning and local search mechanisms for UAV target detection task path planning. The algorithm can dynamically adjust parameters based on the performance at different stages, allowing it to self-optimize according to task changes, while enhancing its local search capability. This leads to improved solution quality and faster convergence. Simulation results show that MLGA outperforms several other algorithms in solving path planning problems.","","979-8-3315-2491-3","10.1109/ICCAI66501.2025.00079","National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11106149","UAV;path planning method;Genetic Algorithm;MLGA","Metalearning;Precision agriculture;Heuristic algorithms;Simulation;Disasters;Object detection;Autonomous aerial vehicles;Path planning;Genetic algorithms;Convergence","","1","","15","IEEE","11 Aug 2025","28-31 March 2025","28-31 March 2025","IEEE","IEEE Conferences"
"Intelligent Obstacle Avoidance and Path Planning with V-Shape algorithm for Drones Using Feature-Enriched Deep Learning in Agriculture and Forest Application","P. R. K. S; M. Odeh; P. M; R. Manasa; C. Muralikrishna; A. K","Department of Information Technology, Easwari Engineering College, Chennai; Department of Cyber Security, Faculty of Information Technology, Zarqa University; Department of CSE, QIS College of Engineering and Technology, Andhra Pradesh, India; Department of CSE, QIS College of Engineering and Technology, Andhra Pradesh, India; Department of Mechanical Engineering, MLR Institute of Technology, Hyderabad, Telangana, India; Department of ECE, New Horizon College of Engineering, Bangalore, India",2025 International Conference on Recent Innovation in Science Engineering and Technology (ICRISET),"28 Nov 2025","2025","","","1","9","The demand for smart and efficient Unmanned Aerial Vehicle (UAV) operations in precision agriculture leads to the development of advanced models for better detection, navigation, and energy use. This study presents the Intelligent Obstacle Avoidance and Path Planning with V-Shape algorithm for Drones Using Feature-Enriched Deep Learning in Agriculture and Forest Application (IOPFDL) model, which enhances weed identification, obstacle avoidance, and swarm UAV activities. It utilizes deep learning techniques like the Channel Attention Model (CAM) for improved feature selection and Ghost Convolution to maintain detection accuracy while reducing computational costs. A dynamic obstacle avoidance system is controlled by CPU and SNR monitoring, shifting tasks to the cloud to ensure smooth operations under varying workloads. The TD3 method plans adaptive global routes and uses AWS SageMaker for cloud processing. An energy optimization feature selectively activates rangefinders in the UAV swarm to lower resource consumption. The V-Shape flight patterns are optimized using an improved Ant Colony Optimization (ACO) technique to enhance energy recovery and decrease drag. Simulations show that the optimized V-Shape formations save up to 15.7% energy for smaller drone groups, and Vertical Line formations cut energy use by 22.3% for larger swarms. IOPFDL model excels in accuracy and stability compared to baseline models, achieving over 0.73 precision and about 0.72 recall rates.","","979-8-3315-5833-8","10.1109/ICRISET64803.2025.11253937","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11253937","Unmanned Aerial Vehicle (UAV);Channel Attention Model (CAM);Twin Delayed Deep Deterministic Policy Gradient (TD3);Signal-to-Noise Ratio (SNR);and Ant Colony Optimization (ACO)","Deep learning;Precision agriculture;Accuracy;Computational modeling;Autonomous aerial vehicles;Real-time systems;Collision avoidance;Vehicle dynamics;Drones;Signal to noise ratio","","","","22","IEEE","28 Nov 2025","1-2 Aug. 2025","1-2 Aug. 2025","IEEE","IEEE Conferences"
