CALCULADORA DE COHEN'S κ — Completar después del rescreening,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
"Una vez que el Revisor 2 complete la hoja SCREENING_SAMPLE, el revisor primario ingresa los conteos de la tabla de contingencia (a, b, c, d) y esta hoja calcula κ automáticamente. Kappa ≥ 0.70 = solidez metodológica aceptable. Kappa ≥ 0.80 = acuerdo sustancial.",,,,
,,,,
,,,,
,,Revisor 1: INCLUIR,Revisor 1: EXCLUIR,Total R2
,Revisor 2: INCLUIR,0,0,
,Revisor 2: EXCLUIR,0,0,
,Total R1,,,
,,,,
,N (total),,,
,Po (acuerdo observado),,,
,Pe (acuerdo esperado por azar),,,
,,,,
,Cohen's κ = (Po − Pe) / (1 − Pe),,,
,κ =,,,
,Interpretación,,,
,κ < 0.20,Acuerdo leve — cribado T/A debe repetirse completamente,,
,0.21 – 0.40,Acuerdo razonable — revisar y ajustar criterios,,
,0.41 – 0.60,Acuerdo moderado — declarar limitación; cribado parcial,,
,0.61 – 0.80,Acuerdo sustancial — aceptable con declaración de limitación,,
,> 0.80,Acuerdo casi perfecto — robusto metodológicamente,,
