"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"S4LNRPA6","journalArticle","2021","Ahmed, Nafis; Pawase, Chaitali J.; Chang, KyungHi; Ahmed, Nafis; Pawase, Chaitali J.; Chang, KyungHi","Distributed 3-D Path Planning for Multi-UAVs with Full Area Surveillance Based on Particle Swarm Optimization","Applied Sciences","","2076-3417","","https://www.mdpi.com/2076-3417/11/8/3417","Collision-free distributed path planning for the swarm of unmanned aerial vehicles (UAVs) in a stochastic and dynamic environment is an emerging and challenging subject for research in the field of a communication system.","2021-04-09","2026-01-10 16:50:31","2026-01-10T16:50:31Z","2026-01-10 16:50:31","","","8","11","","","","","","","","Multidisciplinary Digital Publishing Institute","","en","http://creativecommons.org/licenses/by/3.0/","","","","www.mdpi.com","","","","","","","3D trajectory planning; PSO; area surveillance; distributed path planning; dynamic fitness function; unmanned aerial vehicle","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FYLB7JCH","journalArticle","2023","Yang, Yunhong; Xiong, Xingzhong; Yan, Yuehao","UAV Formation Trajectory Planning Algorithms: A Review","Drones","","","10.3390/DRONES7010062","","","2023","2026-01-08 21:28:52","2026-01-08T21:28:52Z","","62","","1","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IGP2A5JF","journalArticle","2022","Saadi, Amylia Ait; Soukane, Assia; Meraihi, Yassine; Gabis, Asma Benmessaoud; Mirjalili, Seyedali; Ramdane-Cherif, Amar","UAV Path Planning Using Optimization Approaches: A Survey","Archives of Computational Methods in Engineering","","","10.1007/S11831-022-09742-7","","","2022","2026-01-08 21:28:52","2026-01-08T21:28:52Z","","5405–5435","","","29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EDPJL5S2","journalArticle","2025","Li, Peng","An Intelligently Enhanced Ant Colony Optimization Algorithm for Global Path Planning of Mobile Robots in Engineering Applications","Sensors","","","10.3390/S25051326","","","2025","2026-01-08 21:28:52","2026-01-08T21:28:52Z","","1326","","5","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PSL93U9U","journalArticle","2022","Israr, Amber; Ali, Zain Anwar; Alkhammash, Eman H.; Jussila, Jari","Optimization Methods Applied to Motion Planning of Unmanned Aerial Vehicles: A Review","Drones","","","10.3390/DRONES6050126","","","2022","2026-01-08 21:28:52","2026-01-08T21:28:52Z","","126","","5","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INRPIB2N","conferencePaper","2024","Zhou, Yimin","Path Planning of the Swarm Unmanned Aerial Vehicles in the Constrained Environment: A Survey","2024 IEEE International Conference on Robotics and Biomimetics (ROBIO)","","","10.1109/ROBIO64047.2024.10907337","","","2024","2026-01-08 21:28:52","2026-01-08T21:28:52Z","","1–8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q3YPGB2X","journalArticle","2022","Tang, Jun; Duan, Haibin; Lao, Songyang","Swarm intelligence algorithms for multiple unmanned aerial vehicles collaboration: a comprehensive review","Artificial Intelligence Review","","","10.1007/S10462-022-10281-7","","","2022","2026-01-08 21:28:52","2026-01-08T21:28:52Z","","7325–7378","","","55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WL9Z8N2N","journalArticle","2023","Li, Longhai; Liu, Lili; Shao, Yuxuan; others","Enhancing Swarm Intelligence for Obstacle Avoidance with Multi-Strategy and Improved Dung Beetle Optimization Algorithm in Mobile Robot Navigation","Electronics","","","10.3390/ELECTRONICS12214462","","","2023","2026-01-08 21:28:52","2026-01-08T21:28:52Z","","4462","","21","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U8P3BMXM","journalArticle","2022","Saadi, Amylia Ait; Meraihi, Yassine; Soukane, Assia; others","A novel hybrid Chaotic Aquila Optimization algorithm with Simulated Annealing for Unmanned Aerial Vehicles path planning","Computers & Electrical Engineering","","","10.1016/J.COMPELECENG.2022.108461","","","2022","2026-01-08 21:28:52","2026-01-08T21:28:52Z","","108461","","","104","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CYM8LITL","conferencePaper","2024","Zhang, Chenyang","Path Planning for Multi-UAV Target Coverage via Improved GA-PSO Algorithm","2024 International Conference on Robotics, Intelligent Control and Artificial Intelligence (RICAI)","","","10.1109/RICAI64321.2024.10911798","","","2024","2026-01-08 21:28:52","2026-01-08T21:28:52Z","","1–6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CXSKM2JU","journalArticle","2024","Rao, Chaoyi; Wang, Zilong; Shao, Peng","A Multi-Strategy Collaborative Grey Wolf Optimization Algorithm for UAV Path Planning","Electronics","","","10.3390/ELECTRONICS13132532","","","2024","2026-01-08 21:28:52","2026-01-08T21:28:52Z","","2532","","13","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RU8UWRTH","journalArticle","2022","Zhang, Weizheng; Zhang, Wei","An Efficient UAV Localization Technique Based on Particle Swarm Optimization","IEEE Transactions on Vehicular Technology","","","10.1109/TVT.2022.3178228","","","2022","2026-01-08 21:28:52","2026-01-08T21:28:52Z","","9544–9557","","9","71","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
