MUESTRA DE 44 REGISTROS — CRIBADO TÍTULO/RESUMEN — EVALUACIÓN INDEPENDIENTE,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"➤  Complete SOLO las columnas amarillas (DECISIÓN_REVISOR2, CRITERIO, NOTAS_REVISOR2). No modifique el resto.",,,,,,,,,
N°,ID Registro,Fuente,Año,DOI / URL,TÍTULO,RESUMEN (extracto),DECISIÓN_REVISOR2,CRITERIO,NOTAS_REVISOR2
1,TA_001,Research Rabbit / Snowballing,2022,10.1109/lwc.2022.3195963,A Data-driven Packet Routing Algorithm for an Un-manned Aerial Vehicle Swarm: A Multi-agent Rein-forcement Learning Approach,,,,
2,TA_002,Mendeley / IEEE export,2025,10.1109/icct67028.2025.11427483,Coverage of Agricultural Areas by a Group of Unmanned Aerial Vehicles Considering Wind Load and Energy Consumption Constraints,"This work addresses the problem of energy-constrained coverage of agricultural fields using a fleet of identical unmanned aerial vehicles (UAVs). Each UAV must complete a spraying mission over a designated area, subject to limited battery capacity. To ensure energy feasibility, static charging stati",,,
3,TA_003,ScienceDirect,2023,https://doi.org/10.32604/ee.2023.027537,Research of Electric Cable Path Planning Based on Heuristic Optimization Algorithm in Mixed-Land Scenario,"In order to improve the reliability of power supply, the sophisticated design of the structure of electric cable network has become an important issue for modern urban distribution networks. In this paper, an electric cable path planning model based on heuristic optimization algorithm considering mi",,,
4,TA_004,IEEE Xplore,2024,10.1007/s11370-024-00525-6,Hybrid genetic ant colony optimization algorithm for full-coverage path planning of gardening pruning robots,,,,
5,TA_005,ScienceDirect,2023,https://doi.org/10.1016/j.pnucene.2023.104651,Hybrid IACO-A*-PSO optimization algorithm for solving multiobjective path planning problem of mobile robot in radioactive environment,"Mobile robots are receiving significant interest in the nuclear energy industry because of their potential intelligence features and efficient operation. Mobile robot path planning (PP) in a radioactive environment can be considered as finding a collision-free path constrained by the path length, cu",,,
6,TA_006,IEEE Xplore,2021,10.1007/s10846-021-01372-8,"HMDCS-UV: A concept study of Hybrid Monitoring, Detection and Cleaning System for Unmanned Vehicles",,,,
7,TA_007,ScienceDirect,2022,https://doi.org/10.1016/j.neucom.2021.12.016,A new approach to smooth path planning of mobile robot based on quartic Bezier transition curve and improved PSO algorithm,"In this paper, a new approach is proposed for the smooth path planning of mobile robot based on a new quartic Bezier transition curve and an improved particle swarm optimization (PSO) algorithm. First, a dedicatedly constructed quartic Bezier transition curve with three overlapped control points is ",,,
8,TA_008,ScienceDirect,2022,https://doi.org/10.1016/j.asoc.2021.108192,Patrol robot path planning in nuclear power plant using an interval multi-objective particle swarm optimization algorithm,"This paper presents an interval multi-objective path planning (PP) scheme for patrol robot in nuclear power plant. The purpose of this PP scheme is to find collision-free paths with the shortest length and smallest risk degree. Firstly, a novel workspace modeling method is proposed to describe the s",,,
9,TA_009,IEEE Xplore,2021,10.1007/978-3-030-63339-4_8,Cloud-Based Drone Management System in Smart Cities,,,,
10,TA_010,Research Rabbit / Snowballing,2022,10.5139/jksas.2022.50.6.385,Hierarchical Particle Swarm Optimization for Multi UAV Waypoints Planning Under Various Threats,,,,
11,TA_011,IEEE Xplore,2022,10.1007/978-981-15-8155-7_351,Path Planning Algorithm of Robot Dynamic Target Based on State Change,,,,
