ID,Título,Autor_Principal,Año,Fuente,DOI,Algoritmo,Validación,UAVs,Aplicación,Decisión_Tú,Criterio_Exclusión,Justificación_Breve,Decisión_Coautor,Notas_Coautor
PAPER_001,Coverage path planning of heterogeneous unmanned aerial vehicles based on ant colony system,Jinchao Chen,2021,"Jinchao Chen, Fuyuan Ling, Ying Zhang, Tao You, Yifan Liu, Xiaoyan Du",https://doi.org/10.1016/j.swevo.2021.101005,ACO,Solo Simulación,De 2 a 10 UAVs,Otro,Incluir,,,,
PAPER_002,Improved Artificial Bee Colony Algorithm Based on Multi-Strategy Synthesis for UAV Path Planning,Siqi Lin,2022,"Siqi Lin, Feifei Li, Xuyang Li, Kejin Jia, Xiaowei Zhang",10.1109/ACCESS.2022.3218685,ABC,Solo Simulación,UAV individual (proyecta uso multi-UAV a futuro),Otro,Incluir,,,,
PAPER_003,A Modified Sparrow Search Algorithm with Application in 3d Route Planning for UAV,Guiyun Liu,2021,"Guiyun Liu, Cong Shu, Zhongwei Liang, Baihao Peng, Lefeng Cheng",https://doi.org/10.3390/s21041224,SSA,Solo Simulación,Simulaciones centradas en planificación de ruta para un solo UAV,Otro,Incluir,,,,
PAPER_004,Multi-UAV Optimal Mission Assignment and Path Planning for Disaster Rescue Using Adaptive Genetic Algorithm and Improved Artificial Bee Colony Method,Haoting Liu,2021,"Haoting Liu, Jianyue Ge, Yuan Wang, Jiacheng Li, Kai Ding, Zhiqiang Zhang, Zhenhui Guo, Wei Li, Jinhui Lan",https://doi.org/10.3390/act11010004,GA,Simulación+Experimentos,"20 UAVs en simulaciones específicas (15 de entrega, 3 de imágenes, 2 de relevo) divididos en dos grupos",Búsqueda-Rescate,Incluir,,,,
PAPER_005,Multi-UAV Path Planning Based on Fusion of Sparrow Search Algorithm and Improved Bioinspired Neural Network,Qingli Liu,2021,"Qingli Liu, Yang Zhang, Mengqian Li, Zhenya Zhang, Na Cao, Jiale Shang",10.1109/ACCESS.2021.3109879,SSA,Solo Simulación,5 UAVs en experimentos de simulación,Otro,Incluir,,,,
PAPER_006,Implementation of Swarm Intelligence Algorithms for Path Planning,Alex T Mathew,2021,"Alex T Mathew, Ajay Paul, Akshay Rojan, Amith Thomas",10.1088/1742-6596/1831/1/012008,PSO,Solo Simulación,"Menciona contexto multi-robot, simulaciones muestran trayectoria de único robot",Otro,Incluir,,,,
PAPER_007,A Swarm Intelligence Graph-Based Pathfinding Algorithm Based on Fuzzy Logic (SIGPAF): A Case Study on Unmanned Surface Vehicle Multi-Objective Path Planning.,Charis Ntakolia,2021,"Charis Ntakolia, Dimitrios V. Lyridis.",10.3390/jmse9111243.,Otro,Simulación+Experimentos,El estudio se centra en el problema de planificación de ruta para un USV desde un nodo inicial hasta múltiples objetivos (Traveling Salesman Problem - TSP).,Otro,Incluir,,,,
PAPER_008,Study on border patrol task planning of heterogeneous UAVs group based on swarm intelligence,Nan Pan,2022,"Nan Pan, Miaohan Zhang, Yuxuan Sun, Shiyun Chen, Haishi Liu, Xiaojue Guo",10.1177/00368504221094722,SFLA,Solo Simulación,5 UAVs de tres tipos diferentes,Vigilancia,Incluir,,,,
PAPER_009,Safety-enhanced UAV path planning with spherical vector-based particle swarm optimization,Manh Duong Phung,2021,"Manh Duong Phung, Quang Phuc Ha",https://doi.org/10.1016/j.asoc.2021.107376,PSO,Prueba estadística t-test de muestras emparejadas y pruebas de vuelo experimentales,"Centrado en planificación para un solo UAV, validado con dron 3DR Solo",Mapeo,Incluir,,,,
PAPER_010,A review of artificial intelligence applied to path planning in UAV swarms.,Alejandro Puente-Castro,2021,"Alejandro Puente-Castro, Daniel Rivero, Alejandro Pazos, Enrique Fernandez-Blanco",10.1007/s00521-021-06569-4,Review,Solo Simulación,"Se enfoca en enjambres (swarms) o grupos de UAVs, analizando trabajos que van desde pocos drones hasta configuraciones masivas para tareas simultáneas.",Búsqueda-Rescate,Incluir,,,,
